"pathway_id","stages","aic_min","any_nonconverged"
"P01",1,34288.6700393381,FALSE
"P02",1,34210.279915181,FALSE
"P03",1,34216.6794331691,FALSE
"P04",1,34182.6773653456,FALSE
"P05",1,34288.6409951005,FALSE
"P06",1,34288.3522416097,FALSE
"P07",1,34267.0403102254,FALSE
"P08",1,34214.4904617101,FALSE
"P09",1,40362.509599102,FALSE
"P10",1,33539.5428482326,FALSE
"P11",5,34196.7257225596,FALSE
"P12",1,34193.1012695094,FALSE
"P14",1,31281.2222688598,FALSE
"P15",1,34213.9109155748,FALSE
"P16",1,21485.0128066302,FALSE
"P17",1,34212.2798610785,FALSE
"P18",1,34208.9048516003,FALSE
