"var1","var2","correlation"
"hot_nights","hot_nights",1
"very_hot_days","hot_nights",0.884839620479773
"extremely_hot_days","hot_nights",0.645284667019062
"cold_days","hot_nights",-0.273128496574539
"mean_temp","hot_nights",0.69101720719478
"mean_tmin","hot_nights",0.68468277687239
"mean_tmax","hot_nights",0.691604049075745
"hot_nights","very_hot_days",0.884839620479773
"very_hot_days","very_hot_days",1
"extremely_hot_days","very_hot_days",0.648229745336462
"cold_days","very_hot_days",-0.267069853845893
"mean_temp","very_hot_days",0.681496415642054
"mean_tmin","very_hot_days",0.67034972401639
"mean_tmax","very_hot_days",0.692140460412776
"hot_nights","extremely_hot_days",0.645284667019062
"very_hot_days","extremely_hot_days",0.648229745336462
"extremely_hot_days","extremely_hot_days",1
"cold_days","extremely_hot_days",-0.123307419237594
"mean_temp","extremely_hot_days",0.338401608579406
"mean_tmin","extremely_hot_days",0.331788889795441
"mean_tmax","extremely_hot_days",0.350052003698611
"hot_nights","cold_days",-0.273128496574539
"very_hot_days","cold_days",-0.267069853845893
"extremely_hot_days","cold_days",-0.123307419237594
"cold_days","cold_days",1
"mean_temp","cold_days",-0.675497621403706
"mean_tmin","cold_days",-0.686722729571223
"mean_tmax","cold_days",-0.668656114435732
"hot_nights","mean_temp",0.69101720719478
"very_hot_days","mean_temp",0.681496415642054
"extremely_hot_days","mean_temp",0.338401608579406
"cold_days","mean_temp",-0.675497621403706
"mean_temp","mean_temp",1
"mean_tmin","mean_temp",0.999011559186323
"mean_tmax","mean_temp",0.997129078675414
"hot_nights","mean_tmin",0.68468277687239
"very_hot_days","mean_tmin",0.67034972401639
"extremely_hot_days","mean_tmin",0.331788889795441
"cold_days","mean_tmin",-0.686722729571223
"mean_temp","mean_tmin",0.999011559186323
"mean_tmin","mean_tmin",1
"mean_tmax","mean_tmin",0.993811518618906
"hot_nights","mean_tmax",0.691604049075745
"very_hot_days","mean_tmax",0.692140460412776
"extremely_hot_days","mean_tmax",0.350052003698611
"cold_days","mean_tmax",-0.668656114435732
"mean_temp","mean_tmax",0.997129078675414
"mean_tmin","mean_tmax",0.993811518618906
"mean_tmax","mean_tmax",1
